카페명,이용시간,상세주소
서울시청년일자리센터,공간이용 월~금 09~21시/ 토 09~18시 (구직상담 평일 9~18시 가능),서울특별시 중구 삼일대로 363중구장교빌딩 1층 서울시청년일자리센터
성수지앵스 수다카페, 09~18시 ,서울특별시 성동구 상원6나길 22-11성동구성동지역경제혁신센터 1층
사랑밭청년센터,9시 ~ 18시,서울특별시 동작구 만양로8길 45동작구지하층
비즈액티브 신림 ,수 15~18시 ,서울특별시 관악구 신림로 340관악구르네상스복합빌딩 7층
한겨레교육문화센터 신촌, 10~13시 ,서울특별시 마포구 백범로 18마포구 미화빌딩 5~8층
한성대학교 일자리카페,평일 09시~17시(방학중 10:00~16:00),서울특별시 성북구 삼선교로16길 116성북구상상관
성공회대학교 일자리카페,학기중-08:30~20:00/방학중-08:30~15:00,서울특별시 구로구 연동로 320구로구성공회대학교 새천년관
서경대학교 CLC Zone 1번방,학기(방학)중:금요일13시~17시(10시~15시),서울특별시 성북구 서경로 124성북구유담관 L층 CLC Zone 취업지원센터 1번 세미나실
LH남부권주거복지지사,9:00?18:00,서울특별시 강남구 선릉로 514강남구성원빌딩 1층
해커스어학원 강남역캠퍼스,토요일/일요일 10시~12시/13시~16시,서울특별시 서초구 강남대로61길 25서초구해커스 취업아카데미 평생교육원
청춘삘딩,매주 월요일~토요일(10:00?22:00),서울특별시 금천구 시흥대로138길 10-11금천구청춘삘딩
청년공간이음,평일 10시~22시 토요일 10시~18시,서울특별시 관악구 봉천로62길 5관악구4층 청년공간 이음
성균관대학교 일자리카페,평일 9:00 ~ 17:00,서울특별시 종로구 성균관로 25- 2종로구성균관대학교 경영관 1층
숙명여자대학교,평일 9시~21시,서울특별시 용산구 청파로47길 100용산구숙명여자대학교
국민대학교 Dream Job,평일 09시~17시,서울특별시 성북구 정릉로 77성북구국민대학교 종합복지관 지하1층 잡카페
양천 창업디딤누리,평일 9:00~18:00,서울특별시 양천구 목동동로 375양천구사회적경제지원센터 3층 창업디딤누리
서일대학교 Job카페,학기중 : 09시~22시/방학 중 : 10시~17시,서울특별시 중랑구 용마산로90길 28중랑구도서관 1층  Job카페
명지대학교 MJ대학일자리센터,평일09~18시(방학 09~17시),서울특별시 서대문구 거북골로 34서대문구행정동 1층 S5112
동대문도서관,자료실 : 09:00~18:00(평일 종합2실) 09:00~20:00(평일 종합1실) 09:00~17:00(주말) ｜ 일반열람실 : 08:00~22:00(동절기) 07:00~22:00(하절기),서울특별시 동대문구 천호대로4길 22동대문구
중랑여성인력개발센터,평일 09시~21시(일자리카페를 이용하시기 전에 3층 사무실에서 인원수대로 일자리카페 이용대장을 꼭 작성하여 주시기 바랍니다.),서울특별시 중랑구 망우로32길 20중랑구3층 중랑여성인력개발센터
곰달래문화복지센터,화~일 09:00~20:00,서울특별시 강서구 강서로5길 50강서구곰달래문화복지센터 5 6층
구로청년공간 청년이룸,평일 10시~22시 토요일 10시~17시,서울특별시 구로구 오리로 1130구로구지하1층 청년이룸
서울숲언더스탠드에비뉴,평일 09시~18시,서울특별시 성동구 왕십리로 63성동구파워스탠드 2층 (서울숲역 3번 출구 파란색 컨테이너)
한국외국어대학교,평일 09시~17시(방학 중 09시~16시),서울특별시 동대문구 이문로 107동대문구사이버관 105호
동대문구답십리도서관,09:00~22:00,서울특별시 동대문구 서울시립대로4길 75동대문구동대문구답십리도서관
성신여자대학교 대학일자리센터,평일 09시~18시,서울특별시 성북구 보문로34다길 2성북구대학일자리센터
무중력지대 대방동,평일 10시 ~ 22시/ 토요일 10시 ~ 16시,서울특별시 동작구 등용로 79-1동작구무중력지대 대방동
LH서부권주거복지지사,평일 09시~18시,서울특별시 영등포구 양산로 107영등포구인곡빌딩 1층
숭실대학교 잡카페,평일 09:00~17:30,서울특별시 동작구 상도로 369동작구경력개발센터 앞 공간
건국대학교 Job Cafe,평일 09시 ~ 17시,서울특별시 광진구 능동로 120광진구학생회관 2층 204호
무중력지대 도봉,월-금 10:00 -22:00 토 10:00-18:00,서울특별시 도봉구 마들로11길 77도봉구무중력지대 도봉
피앤티스퀘어,평일 공휴일 토요일 09시~22시/일요일 9시~20시,서울특별시 종로구 수표로 105종로구지하 2층
동덕여자대학교,평일 10시~17시 (단 방학 중 11시~15시),서울특별시 성북구 화랑로13길 60성북구(하월곡동)
무중력지대 양천,월-금 10:00 ~ 22:00 / 토 10:00 ~ 17:00,서울특별시 양천구 오목로 359양천구무중력지대양천
인덕대학교,평일 09시~18시,서울특별시 노원구 초안산로 12노원구
종로여성인력개발센터 청년일자리카페,평일 09시~17시,서울특별시 종로구 대학로11길 23종로구대학로스타시티빌딩 2층 3층 4층
청년교류공간,월~금 10~22시,서울특별시 마포구 방울내로5길 42마포구청년교류공간
상명대학교 SM카페,평일 09시~21시/토공휴일 10시~18시,서울특별시 종로구 홍지문2길 20종로구상명대학교 학생회관 대학일자리센터 201호
명지전문대학 일자리카페,월~금 09:00~17:00,서울특별시 서대문구 가좌로 134서대문구
노량진청년일자리센터,평일 09시~22시 토요일 09시~18시,서울특별시 동작구 노량진로 190동작구23층 노량진 청년일자리센터(고려교육타워-어바니엘한강 노량진동)
덕성여자대학교(커리어센터),9시~17시,서울특별시 도봉구 삼양로144길 33도봉구덕성여자대학교 커리어센터
서울과학기술대학교 일자리카페,월~금 09:00~17:00,서울특별시 노원구 공릉로 232노원구
강동일자리카페,월~토 09:00~18:00,서울특별시 강동구 올림픽로 797강동구 4층 강동일자리카페
마포청년나루,평일 오전10시~오후9시 / 토요일 오전10시~ 오후6시,서울특별시 마포구 토정로 148- 22마포구2층
양천 청년일자리카페,화-토:10:00-22:00,서울특별시 양천구 등촌로 210양천구목동깨비시장주차장 공유센터 4층
강남 취창업허브센터 광역일자리카페,10시 ~ 20시 ,서울특별시 강남구 역삼로 160강남구지하1층
제2청년활력소(청년 종합지원공간),9시~18시,서울특별시 중구 세종대로 110중구서울시청 시민청 지하 1층 제2청년활력소
청년일다방,평일 09시~18시,서울특별시 성동구 성수일로12길 20성동구성동안심상가 7층
청년활력소(화상면접&영상실),평일 10시 ~ 18시,서울특별시 중구 세종대로 110중구지하1층 시민청
