업체명,주소,전화번호
드림윙즈 홍대점,서울 마포구 동교동 161-5 3층,02-547-4782
마이스윗인터뷰 신촌점,"서울특별시 서대문구 신촌로 87-8 다니엘빌딩 3층, 4층",070-8160-3010 / 010-2676-3010
마이스윗인터뷰 사당점,서울특별시 관악구 승방6길 34 성창빌딩1층?,02-522-3010
슈트갤러리 논현점,서울시 서초구 신반포로 337 2~3층02-3443-6009 / 010-6405-0433,02-3443-6009 / 010-6405-0433
슈트갤러리 충정로점,서울시 서대문구 신촌로 37길 75 1층,02-363-6009
슈트패브릭 청담점,서울 강남구 선릉로152길 32 5층 슈트패브릭 렌탈센터,070-4196-9606
야베스컬렉션 이수점,서울 서초구 방배천로24길 17 3층,02-1833-5389
열린옷장 건대점,서울특별시 광진구 아차산로 213 웅진빌딩 5층 / 2호선/7호선 건대입구역에서 도보 2분 거리,02-6929-1020
체인지레이디 왕십리점,서울시 성동구 왕십리로 24나길 20 창성빌딩 4층,02-6204-1517 / 02-6012-3037
체인지레이디 강남점,서울시 강남구 역삼로3길 17-6 3층,"02-6204-1517 / 070-5220-0307, 070-5220-0308"
