 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(유)아홉,서울특별시 ,"서울특별시 중구 퇴계로22길 11-8, 프린스호텔 별관 1층(남산동3가)",37.5602821,126.9869826,정보통신업,중소기업 35,0,1,1,2
(주)강안교육,서울특별시 ,"서울특별시 강남구 삼성로76길 23-22(대치동, 에비앙빌딩 1층)",37.5042957,127.0630527,기타,중소기업 15,1,1,1,3
(주)경우시스테크,서울특별시 ,"서울특별시 금천구 디지털로9길 68, 4층(가산동, 대륭포스트타워 5차)",37.4808988,126.8863264,제조업,중소기업 78,1,1,0,2
(주)고려기연,서울특별시 ,서울특별시 금천구 서부샛길 486 (가산동),37.4745876,126.8796146,제조업,중소기업 53,0,1,1,2
(주)고려아카데미컨설팅,서울특별시 ,"서울특별시 금천구 디지털로9길 32, B동 17층 (가산동, 갑을그레이트밸리)",37.4794491,126.8874768,기타,중소기업 80,0,1,1,2
(주)골든민커뮤니케이션,서울특별시 ,"서울특별시 종로구 종로 5길 58, 11층(수송동,석탄회관)",37.5729507,126.9804136,도매 및 소매업,중소기업 26,0,0,1,1
(주)나눔기술,서울특별시 ,"서울특별시 강남구 논현로 626, 5층 (논현동, 엠빌딩)",37.5095428,127.0332713,정보통신업,중소기업 35,1,0,1,2
(주)나온웍스,서울특별시 ,"서울특별시 구로구 디지털로 271, 711호(구로동, 벽산디지털밸리Ⅲ)",37.4831253,126.8937032,정보통신업,중소기업 35,1,1,1,3
(주)나우티앤에스,서울특별시 ,"서울특별시 구로구 디지털로 273, 에이스트윈타워2차 1302호",37.4839163,126.8940805,정보통신업,중소기업 42,1,1,0,2
(주)넥서스커뮤니티,서울특별시 ,"서울특별시 구로구 디지털로26길 61, 1503호 (구로동, 에이스하이엔드타워2차)",37.48076,126.89565,정보통신업,중소기업 94,0,1,1,2
(주)넥스블루,서울특별시 ,"서울특별시 영등포구 경인로 755, 에이스하이테크시티 2동 1402호 (문래동3가)",37.5143974,126.8993822,도매 및 소매업,중소기업 16,0,0,1,1
(주)누비콤,서울특별시 ,"서울특별시 영등포구 경인로 775, 3동 201호 (문래동3가, 에이스하이테크시티)",37.5143974,126.8993822,도매 및 소매업,중소기업 62,0,1,0,1
(주)뉴데이소프트,서울특별시 ,"서울특별시 금천구 가산디지털1로 128, 1210호 (가산동, 에스티엑스브이타워)",37.4771592,126.8837142,정보통신업,중소기업 25,0,1,1,2
(주)니트머스,서울특별시 ,"서울특별시 중구 명동길 65, 11층(명동1가, 보림빌딩)",37.564146,126.985886,정보통신업,중소기업 28,1,1,1,3
(주)다래전략사업화센터,서울특별시 ,"서울특별시 강남구 테헤란로 132, 11층 (역삼동, 한독약품빌딩)",37.499285,127.0332008,"전문, 과학 및 기술 서비스업",중소기업 50,0,1,0,1
(주)다미화학,서울특별시 ,"서울특별시 금천구 가산디지털2로 184, 709호 (가산동, 벽산디지털밸리2차)",37.4839124,126.8780977,도매 및 소매업,중소기업 21,0,1,1,2
(주)다임즈,서울특별시 ,"서울특별시 구로구 디지털로273, 1105호 (구로동, 에이스트윈타워2차)",37.4839163,126.8940805,정보통신업,중소기업 53,0,1,0,1
(주)다하미커뮤니케이션즈,서울특별시 ,"서울특별시 중구 마른내로 140, 5층(쌍림동, 인쇄정보센터)",37.5644725,127.0035696,정보통신업,중소기업 54,1,1,1,3
(주)단해,서울특별시 ,"서울특별시 강서구 마곡중앙로 165, 1201호(안강프라이빗타워)",37.5764888,126.8307466,제조업,중소기업 95,1,0,0,1
(주)대곤코퍼레이션,서울특별시 ,"서울특별시 구로구 디지털로 285, 1201호(구로동, 에이스트윈타워1차)",37.4844473,126.8944933,제조업,중소기업 133,1,1,0,2
(주)대학내일,서울특별시 ,"서울특별시 마포구 독막로 331, 3층~7층(도화동, 마스터즈타워빌딩)",37.5429589,126.9493663,"전문, 과학 및 기술 서비스업",중소기업 363,1,1,1,3
(주)더블미,서울특별시 ,"서울특별시 중구 청계천로 40, 13층 1316호(다동, 한국관광공사)",37.5684894,126.9816134,정보통신업,중소기업 21,1,0,0,1
(주)더블유케이에스글로벌,서울특별시 ,"서울특별시 강남구 양재대로 333, 3층(개포동, 유림빌딩)",37.4718742,127.0510003,제조업,중소기업 27,1,1,1,3
(주)더와이즈,서울특별시 ,"서울특별시 성동구 성수이로7길 27, 201호(성수동2가, 서울숲코오롱디지털타워2차)",37.5415158,127.0534021,기타,중소기업 24,1,0,0,1
