 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)아이퀘스트,"서울특별시 구로구 디지털로34길 55, 407호(구로동,코오롱싸이언스밸리 2차)",정보통신업,중소기업 105,1,0,0,1
주식회사 마크애니,"서울특별시 중구 퇴계로 286, 10층(쌍림동,쌍림빌딩)",정보통신업,중소기업 174,1,0,0,1
(주)코젠바이오텍,"서울특별시 금천구 가산디지털1로 168, C동 1110호","전문, 과학 및 기술 서비스업",중소기업 100,1,1,1,3
(주)케이아이엔엑스,"서울특별시 강남구 강남대로 636, 7층,10층(신사동,두원빌딩)",정보통신업,중소기업 147,1,1,1,3
(주)골든민커뮤니케이션,"서울특별시 종로구 종로5길 58, 11층(수송동,석탄회관)",도매 및 소매업,중소기업 26,1,0,1,2
(주)이에이엔테크놀로지,"서울특별시 강남구 테헤란로77길 11-19(삼성동,EAN빌딩)","전문, 과학 및 기술 서비스업",중소기업 109,1,0,1,2
(주)디에스멘토링,"서울특별시 마포구 매봉산로 31, 스마티움 10층(상암동,에스플렉스센터) ",정보통신업,중소기업 30,0,1,1,2
(주)인사커뮤니케이션,"서울특별시 성동구 연무장5가길 25, 1007호(성수동2가,SK V1타워)",정보통신업,중소기업 26,0,1,0,1
네오컨버전스 주식회사,"서울특별시 성동구 아차산로 49, 1701호(성수동1가,서울숲코오롱디지털타워3차)",도매 및 소매업,중소기업 13,0,0,1,1
(주)씨알에스큐브,"서울특별시 마포구 월드컵북로 396, 807호(상암동,누리꿈스퀘어 연구개발타워)",정보통신업,중소기업 92,0,0,1,1
(주)에프앤자산평가,"서울특별시 강서구 마곡중앙2로 61, 2~3층(에프앤가이드빌딩)",정보통신업,중소기업 105,1,1,0,2
(주)지오시스템,서울특별시 마포구 토정로14길 27(신정동),도매 및 소매업,중소기업 29,0,1,1,2
(주)큰사람커넥트,"서울특별시 구로구 디지털로26길 61, 1303~1304호(구로동,에이스하이엔드타워2차)",정보통신업,중소기업 69,0,1,1,2
풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가,단암빌딩)",제조업,중소기업 200,1,1,1,3
쿠도커뮤니케이션(주),"서울특별시 서초구 효령로 171, 용상빌딩 302호",제조업,중소기업 237,1,1,0,2
(주)이액티브,"서울특별시 영등포구 양평로 157, 1411호(양평동5가,선유도투웨니퍼스트밸리)",정보통신업,중소기업 38,1,1,1,3
(주)프로젝트노아,"서울특별시 구로구 디지털로29길 38, 1103호(구로동,에이스테크노타워3차) ","전문, 과학 및 기술 서비스업",중소기업 25,1,0,0,1
(주)디엠아이시스템즈,"서울특별시 마포구 성지길 27(합정동,디엠아이빌딩) ",도매 및 소매업,중소기업 27,0,1,1,2
(주)에어코드,"서울특별시 금천구 가산디지털2로 123, 13층(가산동,월드메르디앙2차)  ",정보통신업,중소기업 49,1,1,1,3
(주)마크로밀엠브레인,"서울특별시 강남구 강남대로 318, 10~14층(역삼동,837타워)","전문, 과학 및 기술 서비스업",중견기업 273,1,1,0,2
(주)나우티앤에스,"서울특별시 구로구 디지털로 273 ,1302~1303호(구로동,에이스트윈타워2차) ",정보통신업,중소기업 42,1,1,0,2
이노테크놀로지 주식회사,"서울특별시 금천구 가산디지털2로 184, 1110,1112,1113호(가산동,벽산디지털밸리2차)",도매 및 소매업,중소기업 61,0,0,1,1
(주)고려아카데미컨설팅,"서울특별시 금천구 디지털로9길 32, B동 17층(가산동,갑을그레이트벨리)",기타,중소기업 80,0,1,0,1
(주)윈위즈,"서울특별시 성동구 아차산로 126, 1210호(성수동2가,더리브 세종타워)",정보통신업,중소기업 24,0,0,1,1
(주)웨인테크놀로지,"서울특별시 구로구 디지털로34길 55, 1314~1315호(구로동,코오롱싸이언스밸리2차)",정보통신업,중소기업 63,1,0,0,1
(주)오픈메이트,"서울특별시 서대문구 통일로 87, 6층(미근동,NH농협생명빌딩 동관)",정보통신업,중소기업 89,1,0,1,2
(주)아이템베이,"서울특별시 양천구 목동중앙북로 112, 3~7층(창경빌딩)",정보통신업,중소기업 59,0,1,0,1
(주)해양정보기술,"서울특별시 금천구 가산디지털2로 14, 1312호(가산동,대륭테크노타운12차)","전문, 과학 및 기술 서비스업",중소기업 60,1,1,0,2
(주)라파스,서울특별시 강서구 마곡중앙8로1길 62(마곡동) ,제조업,중소기업 100,1,0,1,2
주식회사 이바이오젠,"서울특별시 성동구 뚝섬로17가길 48, 405호(성수동2가,성수에이원센터)","전문, 과학 및 기술 서비스업",중소기업 31,1,0,1,2
(주)유앤피플,"서울특별시 구로구 디지털로31길 38-9, 803호(구로동,에이스타크노타워1차)",정보통신업,중소기업 35,0,1,0,1
(주)쓰리에이씨,"서울특별시 금천구 가산디지털1로 168, B동 1307호(가산동,우림라이온스밸리)",제조업,중소기업 170,1,0,1,2
(주)코마츠코리아,"서울특별시 마포구 마포대로 53, A동 1007호(도화동,마포트라팰리스)",도매 및 소매업,중소기업 20,0,1,1,2
(주)스페이드컴퍼니,"서울특별시 강남구 영동대로 704, 3층(청담동,삼강빌딩)",정보통신업,중소기업 35,0,1,1,2
주식회사 솔미디어컴퍼니,"서울특별시 강서구 허준로 217, 가양테크노타운 402-1호",정보통신업,중소기업 8,0,0,1,1
(주)셀메이트,"서울특별시 마포구 만리재로 47, 3층,5층(신공덕동,공덕코어빌딩)",정보통신업,중소기업 48,0,1,1,2
(주)필라멘트리,서울특별시 강남구 학동로44길 16(필라멘트리 빌딩),정보통신업,중소기업 30,0,1,1,2
고려공업검사(주),서울특별시 용산구 청파로89길 4-12,"전문, 과학 및 기술 서비스업",중소기업 272,1,1,1,3
(주)케이씨이아이,"서울특별시 구로구 디지털로32길 30, 15층(구로동,코오롱디지털타워빌란트)",정보통신업,중소기업 43,1,1,0,2
(주)서울스탠다드,"서울특별시 금천구 가산디지털1로 233, 3층(가산동,에이스하이엔드타워9차)",제조업,중소기업 157,1,0,0,1
세기정보통신(주),"서울특별시 구로구 디지털로 272, 1213호(구로동,한신IT타워)",정보통신업,중소기업 85,0,0,1,1
(주)이십일세기소프트,"서울특별시 영등포구 선유로 146, 1410,1411호(양평동3가,이앤씨드림타워)",도매 및 소매업,중소기업 49,0,0,1,1
(주)이엠텍아이엔씨,"서울특별시 용산구 청파로 40, 3층(한강로3가,삼구빌딩)",도매 및 소매업,중견기업 65,0,0,1,1
(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401,402호(가산동,SJ테크노빌)",도매 및 소매업,중소기업 17,1,1,1,3
엠아이큐브솔루션 주식회사,"서울특별시 서초구 남부순환로 2419, 2,3층(서초동,아트빌딩)",정보통신업,중소기업 179,1,1,1,3
(주)인성아이티,"서울특별시 영등포구 양평로22길 21, A203,204호(양평동5가,선유도코오롱디지털타워)",도매 및 소매업,중소기업 18,0,0,1,1
(주)씨넥스존,"서울특별시 용산구 효창원로55길 20, 지하1층,1층일부,2층(용문동,현양빌딩)",도매 및 소매업,중소기업 59,0,1,0,1
(주)티원엘에스,"서울특별시 금천구 가산디지털1로 145, 402호(가산동,에이스하이엔드타워3차)",도매 및 소매업,중소기업 27,0,1,0,1
(주)유씨알엠,"서울특별시 영등포구 당산로41길 11, E1004호(당산동4가,당산 SK V1센터)",기타,중소기업 14,0,0,1,1
(주)볼트마이크로,"서울특별시 용산구 한강대로62길 41, 2층(한강로1가,의성빌딩)",정보통신업,중소기업 8,1,0,1,2
주식회사 오픈서베이,"서울특별시 서초구 서초대로78길 5, 10층(서초동,대각빌딩)",정보통신업,중소기업 95,1,1,0,2
(주)디오에프연구소,"서울특별시 성동구 성수일로77, B204,305,306,307,601,602호(성수동,서울숲IT밸리)",정보통신업,중소기업 30,1,1,1,3
(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301~303호(구로동,한신IT타워)",정보통신업,중소기업 52,1,1,1,3
(주)아톤,"서울특별시 영등포구 여의대로 108, 파크원타워1 26층",정보통신업,중소기업 91,0,1,0,1
(주)이글루코퍼레이션,"서울특별시 송파구 정의로8길 7, 6층(문정동,한스빌딩)",정보통신업,중소기업 964,1,1,1,3
에스큐아이소프트(주),"서울특별시 영등포구 선유로3길 10, 13층(문래동5가,하우스디비즈)",정보통신업,중소기업 175,1,1,0,2
(주)유창하이텍,"서울특별시 영등포구 버드나루로50, 리버타워 2층",제조업,중소기업 75,0,1,0,1
주식회사 에이티아이케이,"서울특별시 구로구 디지털로26길 5, 1010호(구로동,에이스하이엔드타워1차)",도매 및 소매업,중소기업 74,1,1,1,3
(주)아리네트웍스,"서울특별시 성동구 아차산로 144, 301호(성수동2가,우영테크노센터)",도매 및 소매업,중소기업 41,0,1,1,2
아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층(여의도동,한국금융IT빌딩)",정보통신업,중소기업 20,1,1,1,3
(주)라톤테크,"서울특별시 금천구 디지털로9길 32, B-1501호(가산동,갑을그레이트밸리)",정보통신업,중소기업 32,1,1,1,3
(주)지앤지커머스,"서울특별시 영등포구 국제금융로6길 30, 5층(여의도동,백상빌딩)",정보통신업,중소기업 56,1,0,0,1
(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호(구로동,이앤씨벤쳐드림타워3차)",정보통신업,중소기업 78,1,1,1,3
(주)코이즈,서울특별시 강서구 화곡로59길 37-4(화곡동),도매 및 소매업,중소기업 40,0,1,1,2
(주)신티에스,"서울특별시 구로구 디지털로33길 55, 801호(구로동,이앤씨벤처드림타워2차) ",도매 및 소매업,중소기업 111,1,1,1,3
굿모닝아이텍(주),"서울특별시 마포구 월드컵북로 434, 10층(상암동,상암IT타워)",정보통신업,중소기업 273,1,1,1,3
(주)한국금융IT,"서울특별시 영등포구 여의대방로69길 23, 4층(여의도동,한국금융IT빌딩)",정보통신업,중소기업 54,1,1,1,3
(주)제이코스,"서울특별시 영등포구 영신로 220, 1505~1506호(영등포동8가,KnK디지털타워)",도매 및 소매업,중소기업 33,0,1,0,1
(주)쿠콘,"서울특별시 영등포구 영신로 220, 19층(영등포동8가,KnK디지털타워)",정보통신업,중소기업 188,1,1,1,3
