선정된해, 사업장명21,소재지21,업종21,임금21,일생활균형21,고용안정21,비고,선정된해, 사업장명22,소재지22,업종22,임금22,일생활균형22,고용안정22,비고
2021,(주)니트머스,"서울특별시 중구 명동길 65, 11층(명동1가, 보림빌딩)",정보통신업,1,1,1,3,2022,(주)니트머스,"서울특별시 중구 명동길 65, 11층(명동1가,보림빌딩)",정보통신업,1,1,1,3
2021,(주)동구바이오제약,"서울특별시 송파구 법원로 114, B동 14층(문정동, 엠스테이트)",제조업,1,1,1,3,2022,(주)동구바이오제약,서울특별시 송파구 법원로 114 엠스테이트B동 14층,제조업,1,1,1,3
2021,(주)라톤테크,"서울특별시 금천구 디지털로9길 32, B-1501(가산동, 갑을그레이트밸리)",정보통신업,1,1,1,3,2022,(주)라톤테크,"서울특별시 금천구 디지털로9길 32, B-1501호(가산동,갑을그레이트밸리)",정보통신업,1,1,1,3
2021,(주)불스원,"서울특별시 강남구 테헤란로 306(역삼동, 카이트타워)",제조업,1,1,1,3,2022,(주)불스원,"서울특별시 강남구 테헤란로 306, 카이트타워 6층",제조업,1,1,1,3
2021,(주)소만사,"서울특별시 영등포구 영신로 220(영등포동8가, KnK디지털타워 9층)",정보통신업,1,1,1,3,2022,(주)소만사,"서울특별시 영등포구 영신로 220, 9층(영등포동8가,KnK디지털타워)",정보통신업,1,1,1,3
2021,(주)스틸리언,"서울특별시 용산구 원효로90길 11, 더프라임타워 업무동 12층",정보통신업,1,1,1,3,2022,(주)스틸리언,"서울특별시 용산구 원효로 90길 11, 업무동 12층(더프라임타워)",정보통신업,1,1,1,3
2021,(주)신티에스,"서울특별시 구로구 디지털로33길 55, 이앤씨벤처드림타워 2차 801호",도매 및 소매업,1,1,1,3,2022,(주)신티에스,"서울특별시 구로구 디지털로33길 55, 801호(구로동,이앤씨벤처드림타워2차) ",도매 및 소매업,1,1,1,3
2021,(주)아이더스코리아,"서울특별시 강서구 양천로 376, 7층(가양동, 델타빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)아이더스코리아,"서울특별시 강서구 양천로 376, 7~9층(가양동,델타빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,(주)아이포트폴리오,"서울특별시 중구 남대문로9길 24, 1102호(다동, 패스트파이브타워)",정보통신업,1,1,1,3,2022,(주)아이포트폴리오,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 다동 11층",정보통신업,1,1,1,3
2021,(주)에어코드,"서울특별시 금천구 가산디지털2로 123, 13층(1314~1317호)(가산동, 월드메르디앙벤처센터2차)",정보통신업,1,1,1,3,2022,(주)에어코드,"서울특별시 금천구 가산디지털2로 123, 13층(가산동,월드메르디앙2차)  ",정보통신업,1,1,1,3
2021,(주)영림원소프트랩,서울특별시 강서구 양천로 583(우림블루나인 비즈니스센터 A동 23층),정보통신업,1,1,1,3,2022,(주)영림원소프트랩,"서울특별시 강서구 양천로 583, A동 23층(염창동,우림블루9 비즈니스센터)",정보통신업,1,1,1,3
2021,(주)오픈한,"서울특별시 중랑구 겸재로 121, 오즈빌딩 (면목동)",도매 및 소매업,1,1,1,3,2022,(주)오픈한,"서울특별시 성동구 연무장5가길 25, 1311호(성수동2가, SK V1타워)",도매 및 소매업,1,1,1,3
2021,(주)이노룰스,"서울특별시 송파구 법원로6길 7, 12층(문정동, 유탑테크밸리)",정보통신업,1,1,1,3,2022,(주)이노룰스,"서울특별시 송파구 법원로6길 7, 12층(문정동,유탑테크밸리)",정보통신업,1,1,1,3
2021,(주)이액티브,"서울특별시 영등포구 양평로 157, 1411호",정보통신업,1,1,1,3,2022,(주)이액티브,"서울특별시 영등포구 양평로 157, 1411호(양평동5가,선유도투웨니퍼스트밸리)",정보통신업,1,1,1,3
2021,(주)인포큐브,"서울특별시 송파구 법원로11길 11, B동 1001,1002,1003호(문정동, 문정현대지식산업센터1-1)",정보통신업,1,1,1,3,2022,(주)인포큐브,"서울특별시 송파구 법원로11길 11, B동 1001호(현대지식산업센터)",정보통신업,1,1,1,3
2021,(주)임픽스,"서울특별시 동대문구 천호대로 375, 학인빌딩 3층(장안동)",정보통신업,1,1,1,3,2022,(주)임픽스,"서울특별시 동대문구 천호대로 375, 3층(장안동,학인빌딩)",정보통신업,1,1,1,3
2021,(주)지란지교시큐리티,"서울특별시 강남구 역삼로 542, 5층(대치동, 신사에스앤지)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,(주)지란지교시큐리티,"서울특별시 강남구 역삼로 542, 5층(대치동,신사S&G빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,(주)지엔엠라이프,"서울특별시 영등포구 선유로 130(양평동3가, 에이스 하이테크시티3)",도매 및 소매업,1,1,1,3,2022,(주)지엔엠라이프,"서울특별시 영등포구 선유로 130, 13층(양평동3가,에이스하이테크시티3)",도매 및 소매업,1,1,1,3
2021,(주)케이아이엔엑스,"서울특별시 서초구 서초대로 396, 21층(서초동, 강남빌딩)",정보통신업,1,1,1,3,2022,(주)케이아이엔엑스,"서울특별시 강남구 강남대로 636, 7층,10층(신사동,두원빌딩)",정보통신업,1,1,1,3
2021,(주)코어트러스트,"서울특별시 구로구 디지털로34길 55 , 307호(구로동, 코오롱싸이언스밸리2차)",정보통신업,1,1,1,3,2022,(주)코어트러스트,"서울특별시 구로구 디지털로34길 55, 307호(구로동,코오롱싸이언스밸리2차)",정보통신업,1,1,1,3
